cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean,linkage_p_success_p95
hr,50,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,500,0.0,0.0,0.0,0.0,18.684,50.0,0.0,0.0,0.0,0.0,2.042,4.0,,
hr,50,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,0.31179203137350886,,,,,,0.31179203137350886,,,,,,,
hr,50,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,500,0.6755599999999999,0.8,0.9952000000000001,1.0,1.0,1.0,0.6755599999999999,0.8,0.9952000000000001,1.0,41.03,45.0,,
hr,50,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,500,0.0,0.0,0.0,0.0,47.84,50.0,0.0,0.0,0.0,0.0,1.048,1.0,,
hr,50,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,0.11459052533186737,,,,,,0.11459052533186737,,,,,,,
hr,100,race,race_ethnicity,none,5,500,0.00442,0.02,0.052580000000000016,0.1,1.946,4.0,0.00442,0.02,0.052580000000000016,0.1,5.804,6.0,,
hr,100,race,race_ethnicity,suppress_k,5,500,0.00042,0.0,0.011380000000000001,0.04,5.042,9.0,0.00042,0.0,0.011380000000000001,0.04,4.708,6.0,,
hr,100,race,race_ethnicity,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,100,race+job,race_ethnicity|job_level,none,5,500,0.05148000000000001,0.08,0.22168000000000002,0.3,1.004,1.0,0.05148000000000001,0.08,0.22168000000000002,0.3,17.874,21.0,,
hr,100,race+job,race_ethnicity|job_level,suppress_k,5,500,0.0,0.0,0.0,0.0,5.572,7.0,0.0,0.0,0.0,0.0,7.434,9.0,,
hr,100,race+job,race_ethnicity|job_level,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,100,race+job+years,race_ethnicity|job_level|years_in_hr,none,5,500,0.20298000000000002,0.27,0.6217800000000001,0.76,1.0,1.0,0.20298000000000002,0.27,0.6217800000000001,0.76,41.824,48.0,,
hr,100,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,500,0.0,0.0,0.0,0.0,5.136,6.0,0.0,0.0,0.0,0.0,6.856,9.0,,
hr,100,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,100,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,500,0.5058400000000001,0.6,0.96468,1.0,1.0,1.0,0.5058400000000001,0.6,0.96468,1.0,70.406,77.0,,
hr,100,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,500,0.0,0.0,0.0,0.0,50.75,100.0,0.0,0.0,0.0,0.0,1.66,3.0,,
hr,100,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,0.20116674375616672,,,,,,0.20116674375616672,,,,,,,
hr,200,race,race_ethnicity,none,5,500,0.00035999999999999997,0.005,0.01396,0.035,3.59,6.0,0.00035999999999999997,0.005,0.01396,0.035,5.984,6.0,,
hr,200,race,race_ethnicity,suppress_k,5,500,0.00026000000000000003,0.005,0.0089,0.02,4.206,7.0,0.00026000000000000003,0.005,0.0089,0.02,5.804,6.0,,
