cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean
hr,50,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,0.31179203137350886,,,,,,0.31179203137350886,,,,,,
hr,50,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,3000,0.6780933333333332,0.82,0.9954933333333333,1.0,1.0,1.0,0.6780933333333332,0.82,0.9954933333333333,1.0,41.085,45.0,
hr,50,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,3000,0.0,0.0,0.0,0.0,48.042,50.0,0.0,0.0,0.0,0.0,1.0436666666666667,1.0,
hr,50,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,0.11459052533186737,,,,,,0.11459052533186737,,,,,,
hr,100,race,race_ethnicity,none,5,3000,0.00431,0.01,0.051956666666666665,0.1,1.99,4.0,0.00431,0.01,0.051956666666666665,0.1,5.815666666666667,6.0,
hr,100,race,race_ethnicity,suppress_k,5,3000,0.00042666666666666667,0.0,0.011736666666666664,0.04,5.068666666666667,9.0,0.00042666666666666667,0.0,0.011736666666666664,0.04,4.734333333333334,6.0,
hr,100,race,race_ethnicity,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,100,race+job,race_ethnicity|job_level,none,5,3000,0.05080000000000001,0.08,0.22434666666666667,0.31,1.0023333333333333,1.0,0.05080000000000001,0.08,0.22434666666666667,0.31,17.819333333333333,21.0,
hr,100,race+job,race_ethnicity|job_level,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.665333333333334,8.0,0.0,0.0,0.0,0.0,7.362666666666667,9.0,
hr,100,race+job,race_ethnicity|job_level,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,100,race+job+years,race_ethnicity|job_level|years_in_hr,none,5,3000,0.20139333333333334,0.27,0.6251033333333333,0.77,1.0,1.0,0.20139333333333334,0.27,0.6251033333333333,0.77,41.82,47.0,
hr,100,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.116333333333333,6.0,0.0,0.0,0.0,0.0,6.812666666666667,9.0,
hr,100,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,100,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,3000,0.50492,0.6,0.9632066666666667,1.0,1.0,1.0,0.50492,0.6,0.9632066666666667,1.0,70.34833333333333,77.0,
hr,100,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,3000,0.0,0.0,0.0,0.0,51.488,100.0,0.0,0.0,0.0,0.0,1.682,3.0,
hr,100,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,0.20116674375616672,,,,,,0.20116674375616672,,,,,,
hr,200,race,race_ethnicity,none,5,3000,0.00041,0.005,0.013966666666666665,0.035,3.5603333333333333,6.0,0.00041,0.005,0.013966666666666665,0.035,5.984,6.0,
hr,200,race,race_ethnicity,suppress_k,5,3000,0.00026833333333333337,0.005,0.008228333333333334,0.02,4.260666666666666,7.0,0.00026833333333333337,0.005,0.008228333333333334,0.02,5.784,6.0,
hr,200,race,race_ethnicity,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,200,race+job,race_ethnicity|job_level,none,5,3000,0.019081666666666667,0.035,0.11576666666666667,0.16,1.009,1.0,0.019081666666666667,0.035,0.11576666666666667,0.16,20.952333333333332,23.0,
hr,200,race+job,race_ethnicity|job_level,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.393666666666666,7.0,0.0,0.0,0.0,0.0,11.189333333333334,13.0,
hr,200,race+job,race_ethnicity|job_level,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,200,race+job+years,race_ethnicity|job_level|years_in_hr,none,5,3000,0.10821166666666666,0.14,0.3775333333333333,0.455,1.0,1.0,0.10821166666666666,0.14,0.3775333333333333,0.455,56.330666666666666,62.0,
hr,200,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.069333333333334,6.0,0.0,0.0,0.0,0.0,15.432666666666666,18.0,
hr,200,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,200,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,3000,0.32825166666666666,0.385,0.8268816666666665,0.915,1.0,1.0,0.32825166666666666,0.385,0.8268816666666665,0.915,110.387,119.0,
hr,200,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.112666666666667,5.0,0.0,0.0,0.0,0.0,6.874,10.0,
hr,200,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,0.30998533035789777,,,,,,0.30998533035789777,,,,,,
hr,500,race,race_ethnicity,none,5,3000,6.666666666666667e-07,0.0,0.00017866666666666668,0.0,9.626666666666667,14.0,6.666666666666667e-07,0.0,0.00017866666666666668,0.0,6.0,6.0,
hr,500,race,race_ethnicity,suppress_k,5,3000,6.666666666666667e-07,0.0,0.00017866666666666668,0.0,9.626666666666667,14.0,6.666666666666667e-07,0.0,0.00017866666666666668,0.0,6.0,6.0,
hr,500,race,race_ethnicity,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,500,race+job,race_ethnicity|job_level,none,5,3000,0.002812,0.006,0.035682,0.054,1.2116666666666667,2.0,0.002812,0.006,0.035682,0.054,23.338333333333335,24.0,
hr,500,race+job,race_ethnicity|job_level,suppress_k,5,3000,0.0,0.0,5.333333333333334e-06,0.0,5.287333333333334,7.0,0.0,0.0,5.333333333333334e-06,0.0,17.388,20.0,
hr,500,race+job,race_ethnicity|job_level,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,500,race+job+years,race_ethnicity|job_level|years_in_hr,none,5,3000,0.03811333333333333,0.05,0.18491066666666667,0.22,1.0,1.0,0.03811333333333333,0.05,0.18491066666666667,0.22,75.60933333333334,81.0,
hr,500,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.01,5.0,0.0,0.0,0.0,0.0,30.782,35.0,
hr,500,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
hr,500,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,3000,0.16111866666666663,0.186,0.5062086666666668,0.56,1.0,1.0,0.16111866666666663,0.186,0.5062086666666668,0.56,177.89466666666667,189.0,
hr,500,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,33.21666666666667,38.0,
hr,500,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
